codigo_ibge;municipio;ano;rendimento_kgha;producao_ton
4306353;Dezesseis de Novembro - RS;2021;3416;4338
4306353;Dezesseis de Novembro - RS;2022;890;1086
4306353;Dezesseis de Novembro - RS;2023;797;1236
4306379;Dilermando de Aguiar - RS;2019;3000;69900
4306379;Dilermando de Aguiar - RS;2020;1800;45000
4306379;Dilermando de Aguiar - RS;2021;3250;81250
4306379;Dilermando de Aguiar - RS;2022;1320;34320
4306379;Dilermando de Aguiar - RS;2023;2100;58800
4306403;Dois Irmãos - RS;2019;0;0
4306403;Dois Irmãos - RS;2020;0;0
4306403;Dois Irmãos - RS;2021;0;0
4306403;Dois Irmãos - RS;2022;0;0
4306403;Dois Irmãos - RS;2023;0;0
4306429;Dois Irmãos das Missões - RS;2019;3677;57000
4306429;Dois Irmãos das Missões - RS;2020;2632;40800
4306429;Dois Irmãos das Missões - RS;2021;3677;57000
4306429;Dois Irmãos das Missões - RS;2022;1328;20580
4306429;Dois Irmãos das Missões - RS;2023;2294;35550
4306452;Dois Lajeados - RS;2019;3800;4560
4306452;Dois Lajeados - RS;2020;2280;2736
4306452;Dois Lajeados - RS;2021;3800;4560
4306452;Dois Lajeados - RS;2022;2636;3163
4306452;Dois Lajeados - RS;2023;2280;2736
4306502;Dom Feliciano - RS;2019;3000;4800
4306502;Dom Feliciano - RS;2020;1200;1728
4306502;Dom Feliciano - RS;2021;3000;4320
4306502;Dom Feliciano - RS;2022;2400;7440
4306502;Dom Feliciano - RS;2023;1980;9900
4306551;Dom Pedro de Alcântara - RS;2019;0;0
4306551;Dom Pedro de Alcântara - RS;2020;0;0
4306551;Dom Pedro de Alcântara - RS;2021;0;0
4306551;Dom Pedro de Alcântara - RS;2022;0;0
4306551;Dom Pedro de Alcântara - RS;2023;0;0
4306601;Dom Pedrito - RS;2019;1620;194400
4306601;Dom Pedrito - RS;2020;1120;134400
4306601;Dom Pedrito - RS;2021;2700;351000
4306601;Dom Pedrito - RS;2022;1700;255850
4306601;Dom Pedrito - RS;2023;2297;367500
4306700;Dona Francisca - RS;2019;3240;1685
